t cv_0(t) h(t)
1.000000000000000000e+03 9.989126500689091692e-01 1.000000000000000056e-01
2.000000000000000000e+03 9.164567202523055123e-01 9.846475816538370618e-02
3.000000000000000000e+03 9.483280095220962824e-01 9.555363147197640239e-02
4.000000000000000000e+03 9.136967979952481667e-01 9.382722518099945175e-02
5.000000000000000000e+03 1.148713321714396107e+00 9.936569088315536091e-02
6.000000000000000000e+03 1.189126794335260806e+00 9.753203449168464101e-02
7.000000000000000000e+03 1.020061282496740773e+00 9.290750955365860431e-02
8.000000000000000000e+03 9.626102647339542795e-01 8.940301539203991676e-02
9.000000000000000000e+03 7.977020425993266439e-01 9.743811934332850810e-02
1.000000000000000000e+04 6.793321554314848409e-01 9.906597091561110402e-02
1.100000000000000000e+04 1.172192332726318176e+00 9.434368167619144874e-02
1.200000000000000000e+04 1.128533010988915564e+00 9.148492338169679494e-02
1.300000000000000000e+04 1.044060102867278017e+00 8.843604933710726146e-02
1.400000000000000000e+04 8.406812088387483062e-01 9.206771440085387281e-02
1.500000000000000000e+04 8.993590891878455729e-01 8.663713410853453312e-02
1.600000000000000000e+04 1.178114135090026382e+00 8.984007187533610272e-02
1.700000000000000000e+04 7.646284137678673876e-01 9.311405859904101079e-02
1.800000000000000000e+04 8.648800799594457134e-01 8.568767983384613374e-02
1.900000000000000000e+04 1.077151338685974791e+00 8.597592907195633627e-02
2.000000000000000000e+04 1.010191665733572997e+00 8.275450269327853936e-02
2.100000000000000000e+04 6.115871118566988951e-01 9.758081560745492100e-02
2.200000000000000000e+04 7.200691942530815792e-01 9.161981913242663034e-02
2.300000000000000000e+04 1.002415495744192864e+00 8.079172404676221442e-02
2.400000000000000000e+04 1.126144253580478427e+00 8.356886196862162164e-02
2.500000000000000000e+04 1.255918327881859087e+00 9.287183007255309097e-02
2.600000000000000000e+04 1.110584927354213880e+00 8.078040078510387301e-02
2.700000000000000000e+04 9.372294566308547736e-01 7.897497114928361817e-02
2.800000000000000000e+04 1.065809843735498141e+00 7.787294839424234449e-02
2.900000000000000000e+04 1.147627803890283849e+00 7.942954099774150734e-02
3.000000000000000000e+04 7.719199880899997313e-01 8.716758803064714178e-02
3.100000000000000000e+04 1.352825276253228237e+00 9.782332261156694020e-02
3.200000000000000000e+04 8.321977117719802086e-01 8.222398955215251548e-02
3.300000000000000000e+04 1.242438874064759835e+00 8.685472587628623176e-02
3.400000000000000000e+04 8.039757896243333590e-01 8.198328948367872293e-02
3.500000000000000000e+04 9.925519192776177668e-01 7.501478715898343697e-02
3.600000000000000000e+04 5.852844470787380571e-01 9.527585901520019274e-02
3.700000000000000000e+04 9.141843993680504044e-01 7.511940308438674885e-02
3.800000000000000000e+04 1.178900452967771351e+00 7.865498480908585111e-02
3.900000000000000000e+04 5.794078887806888289e-01 9.323122036006525892e-02
4.000000000000000000e+04 8.243460144690253344e-01 7.816824714079084746e-02
4.100000000000000000e+04 8.354374135970927817e-01 7.594221954823211773e-02
4.200000000000000000e+04 7.137032898578515860e-01 8.406372938614385670e-02
4.300000000000000000e+04 5.204339496039516177e-01 9.449681574504094350e-02
4.400000000000000000e+04 5.194133881685610854e-01 9.224444760289757239e-02
4.500000000000000000e+04 5.389007287123193102e-01 8.885653594060599625e-02
4.600000000000000000e+04 9.336662756050204681e-01 7.175382522083466330e-02
4.700000000000000000e+04 6.681688462948085494e-01 8.406105228600631307e-02
4.800000000000000000e+04 9.213729726543489207e-01 7.047884131596073021e-02
4.900000000000000000e+04 8.665490776986043420e-01 7.072089994381010325e-02
5.000000000000000000e+04 4.448110828359683189e-01 9.431376624495513283e-02
5.100000000000000000e+04 7.408942733625205612e-01 7.815764942688885331e-02
5.200000000000000000e+04 1.023279218594150608e+00 7.117986511905802227e-02
5.300000000000000000e+04 1.307071783983319690e+00 9.073485606760263444e-02
5.400000000000000000e+04 7.167836699075893492e-01 7.823364327507048577e-02
5.500000000000000000e+04 3.034037251351728304e-01 9.931205180249863540e-02
5.600000000000000000e+04 -9.474099224870899949e-01 1.000000000000000056e-01
5.700000000000000000e+04 -9.666860954348702739e-01 9.747611127696466371e-02
5.800000000000000000e+04 -1.201881006508130012e+00 9.994923641993058716e-02
5.900000000000000000e+04 -8.449278997922318180e-01 9.805501727358165165e-02
6.000000000000000000e+04 -9.828251878714038270e-01 9.460547787439838041e-02
6.100000000000000000e+04 -1.116847147957618303e+00 9.720484564740047850e-02
6.200000000000000000e+04 -1.046151389382931729e+00 9.337880142983634446e-02
6.300000000000000000e+04 -7.921803992400306971e-01 9.716439798805343031e-02
6.400000000000000000e+04 -6.417699483973753338e-01 9.945943623971766068e-02
6.500000000000000000e+04 -1.092511777454927779e+00 9.249470787486278878e-02
6.600000000000000000e+04 -1.196303740399918825e+00 9.437378600250102834e-02
6.700000000000000000e+04 -8.134933089023644870e-01 9.372119757569995213e-02
6.800000000000000000e+04 -1.062574495907712135e+00 8.896725478565978285e-02
6.900000000000000000e+04 -1.173330410999198881e+00 9.031612396538206411e-02
7.000000000000000000e+04 -8.019203648477544188e-01 9.175168093254125468e-02
7.100000000000000000e+04 -9.727331261902277815e-01 8.746559661044972511e-02
7.200000000000000000e+04 -6.898328154863431205e-01 9.475488284887878532e-02
7.300000000000000000e+04 -9.460546115821180102e-01 8.612381505478516885e-02
7.400000000000000000e+04 -1.026785197238305081e+00 8.371895676023910493e-02
7.500000000000000000e+04 -1.002867762646766803e+00 8.176606563347876833e-02
7.600000000000000000e+04 -1.173204274967462046e+00 8.750733767365136140e-02
7.700000000000000000e+04 -1.064682948941704455e+00 8.074190385809526527e-02
7.800000000000000000e+04 -1.054364564201684118e+00 7.876103721135396807e-02
7.900000000000000000e+04 -1.246046941595018387e+00 9.126756476216470182e-02
8.000000000000000000e+04 -8.808723603489788667e-01 8.491457060259836875e-02
8.100000000000000000e+04 -6.717025887721570498e-01 9.306343559971556878e-02
8.200000000000000000e+04 -8.361772325347656132e-01 8.494943128637537366e-02
8.300000000000000000e+04 -9.506238559446689163e-01 7.824666964921898893e-02
8.400000000000000000e+04 -1.078782831381093432e+00 7.721938601124002377e-02
8.500000000000000000e+04 -1.315012114422745793e+00 9.543141823439157956e-02
8.600000000000000000e+04 -8.945066001498110930e-01 7.943845624859287302e-02
8.700000000000000000e+04 -1.210906313907346155e+00 8.445544142745518845e-02
8.800000000000000000e+04 -6.787522420800462530e-01 9.018215356461674326e-02
8.900000000000000000e+04 -5.421078802794593310e-01 9.712827850986219258e-02
9.000000000000000000e+04 -8.597814490977349067e-01 7.959652238578295014e-02
