t cv_0(t) h(t)
4.000010000000000000e+05 4.812729358673095703e-02 1.000000000000000000e+00
4.500010000000000000e+05 3.289973363280296326e-02 9.836262392471388782e-01
5.000010000000000000e+05 4.116039723157882690e-02 9.248769279112316610e-01
5.500010000000000000e+05 5.942702293395996094e-02 9.622226577971390027e-01
6.000010000000000000e+05 2.403084002435208061e-02 9.520441780865747106e-01
6.500010000000000000e+05 1.952069438993930817e-02 9.305353124948217980e-01
7.000010000000000000e+05 3.410142660140991211e-02 8.537077654896614298e-01
7.500010000000000000e+05 5.215929821133613586e-02 8.762572961634550461e-01
8.000010000000000000e+05 5.466237664222716591e-02 8.497450332676698137e-01
8.500010000000000000e+05 4.332963749766349792e-02 7.920396008362792228e-01
9.000010000000000000e+05 5.942581221461296082e-02 8.370695738327321722e-01
9.500010000000000000e+05 6.179665401577949524e-02 8.256425196190633198e-01
1.000001000000000000e+06 6.200092285871505737e-02 7.927106090216023970e-01
1.050001000000000000e+06 2.229694090783596039e-02 8.487987376273843365e-01
1.100001000000000000e+06 3.267306461930274963e-02 7.666844695670950172e-01
1.150001000000000000e+06 2.168976515531539917e-02 7.982466228445526113e-01
1.200001000000000000e+06 4.312814772129057450e-02 7.163101258322976950e-01
1.250001000000000000e+06 4.007478430867195129e-02 6.927663816693323540e-01
1.300001000000000000e+06 2.683388628065586090e-02 7.142074823310564646e-01
1.350001000000000000e+06 5.371219292283057473e-02 6.851467317415185221e-01
1.400001000000000000e+06 6.825611740350723267e-02 8.275685817693019253e-01
1.450001000000000000e+06 7.210651040077209473e-02 8.512751029824835447e-01
1.500001000000000000e+06 7.261136919260025024e-02 8.211917404925437314e-01
1.550001000000000000e+06 8.422027528285980225e-02 9.338515451036120130e-01
1.600001000000000000e+06 9.032373875379560990e-02 9.374392383428864495e-01
1.650001000000000000e+06 1.077097132802009583e-01 9.859090042728063663e-01
1.700001000000000000e+06 1.000093445181846619e-01 9.177133653749024456e-01
1.750001000000000000e+06 9.247795492410659790e-02 8.598347199010502040e-01
1.800001000000000000e+06 8.082357794046403365e-02 8.038225983060686142e-01
1.850001000000000000e+06 7.958936691284179688e-02 7.661837067987539163e-01
1.900001000000000000e+06 7.676534354686737061e-02 7.255349158005953702e-01
1.950001000000000000e+06 8.519040793180465698e-02 7.365086258936075492e-01
2.000001000000000000e+06 4.043465480208396912e-02 6.469822921406913618e-01
2.050001000000000000e+06 5.921730771660804749e-02 6.385498483699473260e-01
2.100001000000000000e+06 2.881969511508941650e-02 6.638401692615145677e-01
2.150001000000000000e+06 1.854545436799526562e-02 7.537139651600214263e-01
2.200001000000000000e+06 1.878284104168415070e-02 7.209198852342094677e-01
2.250001000000000000e+06 4.089367017149924538e-02 6.065563252270590455e-01
2.300001000000000000e+06 3.169317170977592468e-02 5.936877654885359679e-01
2.350001000000000000e+06 5.175586789846420288e-02 5.952801166770403940e-01
2.400001000000000000e+06 3.800018131732940674e-02 5.652346961334467901e-01
2.450001000000000000e+06 3.472200036048888466e-02 5.515133763828441449e-01
2.500001000000000000e+06 5.113882571458816528e-02 5.643854707027454731e-01
2.550001000000000000e+06 4.305692762136459351e-02 5.295605023793311661e-01
2.600001000000000000e+06 2.548516169190406799e-02 5.809336206794940560e-01
2.650001000000000000e+06 2.019730024039745331e-02 6.327704215782341546e-01
2.700001000000000000e+06 1.817938871681690563e-02 6.460701043510500563e-01
2.750001000000000000e+06 2.232563868165015827e-02 5.638271507855150411e-01
2.800001000000000000e+06 2.673263289034366261e-02 5.106415827192825052e-01
2.850001000000000000e+06 4.502815753221511841e-02 5.109683540891414300e-01
2.900001000000000000e+06 6.645493954420089722e-02 6.245658484405037791e-01
2.950001000000000000e+06 7.146843522787094116e-02 6.339287020847598209e-01
3.000001000000000000e+06 4.963349923491476579e-02 5.103352595845904727e-01
3.050001000000000000e+06 6.353089213371276855e-02 5.657509821886537171e-01
3.100001000000000000e+06 6.901615858078002930e-02 5.827356371068662666e-01
3.150001000000000000e+06 7.431629300117491288e-02 6.006080188852265245e-01
3.200001000000000000e+06 8.043567091226577759e-02 6.302105397290093114e-01
3.250001000000000000e+06 3.563553467392921448e-02 4.718762633561705000e-01
3.300001000000000000e+06 4.522396996617316506e-02 4.726214761921248009e-01
3.350001000000000000e+06 5.395336449146272140e-02 4.864815094849245791e-01
3.400001000000000000e+06 5.293877795338631370e-02 4.710002415581073798e-01
3.450001000000000000e+06 2.947934158146380684e-02 4.664408755519303118e-01
3.500001000000000000e+06 1.435787603259086609e-02 6.684232185702781992e-01
3.550001000000000000e+06 1.853874512016772877e-02 5.593574557172454886e-01
3.600001000000000000e+06 2.063042297959328045e-02 5.106827334642275451e-01
3.650001000000000000e+06 2.303285710513592113e-02 4.696403872629055232e-01
3.700001000000000000e+06 4.106694087386131287e-02 4.330224471991645507e-01
3.750001000000000000e+06 6.138838082551956177e-02 4.913086684650039837e-01
3.800001000000000000e+06 6.302769482135772705e-02 4.870182916261681649e-01
3.850001000000000000e+06 4.728427156805992126e-02 4.280080613293448244e-01
3.900001000000000000e+06 5.449010804295539856e-02 4.346583346050548191e-01
3.950001000000000000e+06 5.732687935233116150e-02 4.350106483395205781e-01
4.000001000000000000e+06 7.198271900415420532e-02 5.236387094073472470e-01
4.050001000000000000e+06 9.714148938655853271e-02 7.868067559262376109e-01
4.100001000000000000e+06 9.690470993518829346e-02 7.524594386371934451e-01
4.150001000000000000e+06 9.024662524461746216e-02 6.625513445572015492e-01
4.200001000000000000e+06 8.988226205110549927e-02 6.368251510927958048e-01
4.250001000000000000e+06 1.183113530278205594e-01 9.499873210085715280e-01
4.300001000000000000e+06 9.273315221071244674e-02 6.393904845163654871e-01
4.350001000000000000e+06 9.409821778535842896e-02 6.309238770699114873e-01
4.400001000000000000e+06 1.185140088200569153e-01 9.024554186633026998e-01
4.450001000000000000e+06 1.199937537312507629e-01 8.714072781906441190e-01
4.500001000000000000e+06 1.082280948758125166e-01 7.576284605214076429e-01
4.550001000000000000e+06 8.990373462438581986e-02 5.730088706868735615e-01
4.600001000000000000e+06 6.303970515727996826e-02 4.453973171921924989e-01
4.650001000000000000e+06 4.112562909722328186e-02 4.058641763723737639e-01
4.700001000000000000e+06 4.110203683376312256e-02 3.973035037526984614e-01
4.750001000000000000e+06 3.269139304757118225e-02 4.006203761054529799e-01
4.800001000000000000e+06 1.921291463077068329e-02 4.986541367214519793e-01
4.850001000000000000e+06 1.202967297285795212e-02 6.470748743499947775e-01
4.900001000000000000e+06 1.844898611307144165e-02 4.852973602958697841e-01
4.950001000000000000e+06 1.396998483687639236e-02 5.635841451896881349e-01
5.000001000000000000e+06 1.493364013731479645e-02 5.254636128532729211e-01
5.050001000000000000e+06 1.539392955601215189e-02 5.016283134852729253e-01
5.100001000000000000e+06 3.870962932705879211e-02 3.794767875287815007e-01
5.150001000000000000e+06 5.542001500725745461e-02 3.992595428924011203e-01
5.200001000000000000e+06 5.820113793015480042e-02 4.013831460886039260e-01
5.250001000000000000e+06 2.957081049680708798e-02 3.708852678983390327e-01
5.300001000000000000e+06 4.014691710472105546e-02 3.645953652264988798e-01
5.350001000000000000e+06 6.016454100608825684e-02 4.009102545861292777e-01
5.400001000000000000e+06 3.956803679466248252e-02 3.566002726614702634e-01
5.450001000000000000e+06 5.669625103473663330e-02 3.759418557247279358e-01
5.500001000000000000e+06 6.561630219221115112e-02 4.210480522717631180e-01
5.550001000000000000e+06 8.506730943918225374e-02 5.345649702571905193e-01
5.600001000000000000e+06 6.644471734762191772e-02 4.161408053603056212e-01
5.650001000000000000e+06 6.012592092156409523e-02 3.697973047696920257e-01
5.700001000000000000e+06 6.361643224954605103e-02 3.810340018684416630e-01
5.750001000000000000e+06 8.460629731416702271e-02 5.143525927159955380e-01
5.800001000000000000e+06 5.675841122865676880e-02 3.459487662652911411e-01
5.850001000000000000e+06 3.637946769595145485e-02 3.478550569317646612e-01
5.900001000000000000e+06 3.649841248989104531e-02 3.414513499438936450e-01
5.950001000000000000e+06 2.195219695568084717e-02 3.848825669528003757e-01
6.000001000000000000e+06 1.453237608075142080e-02 4.924532503901336011e-01
6.050001000000000000e+06 1.197347324341535568e-02 5.417900896530806198e-01
6.100001000000000000e+06 1.536778267472982407e-02 4.499661398528460587e-01
6.150001000000000000e+06 1.330369710922241211e-02 4.826740669022409058e-01
6.200001000000000000e+06 8.671961724758146459e-03 5.932575297195328279e-01
6.250001000000000000e+06 9.666740894317626953e-03 5.469283403870081051e-01
6.300001000000000000e+06 2.125150337815284729e-02 3.451239107391326222e-01
6.350001000000000000e+06 3.778196126222609780e-02 3.287251136838647558e-01
6.400001000000000000e+06 4.054676741361616654e-02 3.244455449344834652e-01
6.450001000000000000e+06 7.558756321668622102e-02 4.575439305141905666e-01
6.500001000000000000e+06 8.215622603893280029e-02 4.813613860566656744e-01
6.550001000000000000e+06 8.470005542039868440e-02 4.809613384938341007e-01
6.600001000000000000e+06 6.855087727308273315e-02 3.887472795751745758e-01
6.650001000000000000e+06 5.674577504396439293e-02 3.303180415260395519e-01
6.700001000000000000e+06 6.381756067276000977e-02 3.489116940065568051e-01
6.750001000000000000e+06 6.953438371419906616e-02 3.782106433240092214e-01
6.800001000000000000e+06 1.115301102399826050e-01 7.485356646188153773e-01
6.850001000000000000e+06 1.044810041785240035e-01 6.578029268861826928e-01
6.900001000000000000e+06 1.093695685267448425e-01 6.813594254200604494e-01
6.950001000000000000e+06 1.250737458467483521e-01 8.397732086236502358e-01
7.000001000000000000e+06 1.065078675746917586e-01 6.280458781589014494e-01
7.050001000000000000e+06 1.057768240571022034e-01 6.022859845481569607e-01
7.100001000000000000e+06 1.052982956171035628e-01 5.801166189117487049e-01
7.150001000000000000e+06 8.112902194261552291e-02 4.395086823968885614e-01
7.200001000000000000e+06 8.775920420885086060e-02 4.578271321737469868e-01
7.250001000000000000e+06 7.885783165693283081e-02 4.126307175297284635e-01
