Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
       50000          1.27848e+03          1784            39.10818      
      100000          1.27767e+03          1784            78.26663      
      150000          1.26973e+03          1784            39.37761      
      200000          1.27697e+03          1784            78.30989      
      250000           734.72893           1784            68.05095      
      300000           482.53917           1784            207.23499     
      350000           226.06161           1784            221.17422     
      400000           191.53477           1784            522.09319     
      450000           144.52492           1784            69.18530      
      500000           144.66876           1784            69.11651      
      550000           145.88163           1784            68.54187      
      600000           144.62655           1784            69.13668      
      650000           145.21740           1784            68.85539      
      700000           145.12264           1784            68.90035      
      750000           145.26521           1784            68.83272      
      800000           145.33945           1784            68.79756      
      850000           143.24364           1784            69.80415      
      900000           144.26466           1784            69.31011      
      950000           144.09502           1784            69.39171      
      1000000          144.77300           1784            69.06674      
      1050000          145.16266           1784            68.88135      
      1100000          147.99349           1784            67.56378      
      1150000          148.12807           1784            67.50240      
      1200000          148.34791           1784            67.40237      
      1250000          148.67444           1784            67.25433      
      1300000          148.59366           1784            67.29089      
      1350000          148.04609           1784            67.53978      
      1400000          147.72939           1784            67.68457      
      1450000          148.52836           1784            67.32048      
      1500000          147.93426           1784            67.59084      
      1550000          148.18519           1784            67.47638      
      1600000          147.49838           1784            67.79057      
      1650000          147.33230           1784            67.86699      
      1700000          147.16822           1784            67.94266      
      1750000          147.24291           1784            67.90820      
      1800000          147.39141           1784            67.83978      
      1850000          148.06679           1784            67.53034      
      1900000          148.11670           1784            67.50758      
      1950000          147.90180           1784            67.60567      
      2000000          148.06367           1784            67.53176      
      2050000          147.33320           1784            67.86658      
      2100000          148.30107           1784            67.42365      
      2150000          148.66045           1784            67.26066      
      2200000          147.96476           1784            67.57690      
      2250000          147.89747           1784            67.60765      
      2300000          147.93237           1784            67.59170      
      2350000          148.07582           1784            67.52622      
      2400000          148.45125           1784            67.35545      
      2450000          147.78063           1784            67.66110      
      2500000          148.31064           1784            67.41930      
      2550000          148.25887           1784            67.44285      
      2600000          148.85021           1784            67.17491      
      2650000          148.70921           1784            67.23861      
